district_id,district_id_legacy,district_name,district_name_bn,division_id,district_code
1,,None,,1,
2,4001,Bagerhat,বাগেরহাট,5,01
3,2003,Bandarban,বান্দরবান,3,03
4,1004,Barguna,বরগুনা,2,04
5,1006,Barishal,বরিশাল,2,06
6,1009,Bhola,ভোলা,2,09
7,5010,Bogura,বগুড়া,6,10
8,2012,Brahamanbaria,ব্রাহ্মণবাড়িয়া,3,12
9,2013,Chandpur,চাঁদপুর,3,13
10,2015,Chattogram,চট্টগ্রাম,3,15
11,4018,Chuadanga,চুয়াডাঙ্গা,5,18
12,2019,Cumilla,কুমিল্লা,3,19
13,2022,Coxs Bazar,কক্সবাজার,3,22
14,3026,Dhaka,ঢাকা,4,26
15,5527,Dinajpur,দিনাজপুর,8,27
16,3029,Faridpur,ফরিদপুর,4,29
17,2030,Feni,ফেনী,3,30
18,5532,Gaibandha,গাইবান্ধা,8,32
19,3033,Gazipur,গাজীপুর,4,33
20,3035,Gopalganj,গোপালগঞ্জ,4,35
21,6036,Habiganj,হবিগঞ্জ,7,36
22,5038,Joypurhat,জয়পুরহাট,6,38
23,4539,Jamalpur,জামালপুর,9,39
24,4041,Jashore,যশোর,5,41
25,1042,Jhalokati,ঝালকাটি,2,42
26,4044,Jhenaidah,ঝিনাইদহ,5,44
27,2046,Khagrachhari,খাগড়াছড়ি,3,46
28,4047,Khulna,খুলনা,5,47
29,3048,Kishoreganj,কিশোরগঞ্জ,4,48
30,5549,Kurigram,কুড়িগ্রাম,8,49
31,4050,Kushtia,কুষ্টিয়া,5,50
32,2051,Lakshmipur,লক্ষ্মীপুর,3,51
33,5552,Lalmonirhat,লালমনিরহাট,8,52
34,3054,Madaripur,মাদারীপুর,4,54
35,4055,Magura,মাগুরা,5,55
36,3056,Manikganj,মানিকগঞ্জ,4,56
37,4057,Meherpur,মেহেরপুর,5,57
38,6058,Maulvibazar,মৌলভীবাজার,7,58
39,3059,Munshiganj,মুন্সীগঞ্জ,4,59
40,4561,Mymensingh,ময়মনসিংহ,9,61
41,5064,Naogaon,নওগাঁ,6,64
42,4065,Norail,নরাইল,5,65
43,3067,Narayanganj,নারায়ণগঞ্জ,4,67
44,3068,Narsingdi,নরসিংদী,4,68
45,5069,Natore,নাটোর,6,69
46,5070,Nawabganj,নবাবগঞ্জ,6,70
47,4572,Netrakona,নেত্রকোনা,9,72
48,5573,Nilphamari,নীলফামারী,8,73
49,2075,Noakhali,নোয়াখালী,3,75
50,5076,Pabna,পাবনা,6,76
51,5577,Panchagarh,পঞ্চগড়,8,77
52,1078,Patuakhali,পটুয়াখালী,2,78
53,1079,Pirojpur,পিরোজপুর,2,79
54,5081,Rajshahi,রাজশাহী,6,81
55,3082,Rajbari,রাজবাড়ী,4,82
56,2084,Rangamati,রাঙ্গামাটি,3,84
57,5585,Rangpur,রংপুর,8,85
58,3086,Shariatpur,শরীয়তপুর,4,86
59,4087,Satkhira,সাতক্ষীরা,5,87
60,5088,Sirajganj,সিরাজগঞ্জ,6,88
61,4589,Sherpur,শেরপুর,9,89
62,6090,Sunamganj,সুনামগঞ্জ,7,90
63,6091,Sylhet,সিলেট,7,91
64,3093,Tangail,টাঙ্গাইল,4,93
65,9993,Oman,,1,93
66,5594,Thakurgaon,ঠাকুরগাঁও,8,94
67,9994,United Arab Emirates,,1,94
68,9995,Qatar,,1,95
69,9996,Saudi Arabia,,1,96
70,9997,Bahrain,,1,97
71,9998,Libya,,1,98
